"route_uid","route_id","has_sub_routes","operator_id","operator_name_zh","operator_name_en","authority_id","provider_id","sub_route_uid","sub_route_id","sub_route_name_zh","sub_route_name_en","headsign","headsign_en","direction","first_bus_time","last_bus_time","holiday_first_bus_time","holiday_last_bus_time","bus_route_type","route_name_zh","route_name_en","departure_stop_name_zh","departure_stop_name_en","destination_stop_name_zh","destination_stop_name_en","ticket_price_description_zh","ticket_price_description_en","fare_buffer_zone_description_zh","fare_buffer_zone_description_en","route_map_image_url","city","city_code","SrcUpdateTime","UpdateTime","InfoTime","InfoDate"
KHH8504,"8504",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8504,"8504","8504","8504",義大世界－鳳陽社區,,0,,,,,11,"8504","8504",義大世界站,E-DA World Station,鳳陽社區,Fongyang Community,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8504,"8504",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8504,"8504","8504","8504",義大世界－鳳陽社區,,1,,,,,11,"8504","8504",義大世界站,E-DA World Station,鳳陽社區,Fongyang Community,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8505,"8505",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8505,"8505","8505","8505",義大世界－前鎮高中站,,0,,,,,11,"8505","8505",義大世界,E-DA World Station,前鎮高中站,Chianjen Senior High School,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8505,"8505",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8505,"8505","8505","8505",義大世界－前鎮高中站,,1,,,,,11,"8505","8505",義大世界,E-DA World Station,前鎮高中站,Chianjen Senior High School,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8506,"8506",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8506,"8506","8506","8506",義大世界－岡山轉運站,,0,,,,,11,"8506","8506",義大世界,E-DA World Station,岡山轉運站,Gangshan Transportation,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8506,"8506",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8506,"8506","8506","8506",義大世界－岡山轉運站,,1,,,,,11,"8506","8506",義大世界,E-DA World Station,岡山轉運站,Gangshan Transportation,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8507,"8507",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8507,"8507","8501延駛佛光山","8501(Pass By Fo Guang Shan)",佛陀紀念館－高鐵左營站,,0,,,,,11,"8501延駛佛光山","8501(Pass By Fo Guang Shan)",佛陀紀念館,Fo Guang Shan Buddha Museum,高鐵左營站,HSR Zuoying Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8507,"8507",1,"10330",義大客運,"E-Da Bus TrafficCo., Ltd.","009","009",KHH8507,"8507","8501延駛佛光山","8501(Pass By Fo Guang Shan)",佛陀紀念館－高鐵左營站,,1,,,,,11,"8501延駛佛光山","8501(Pass By Fo Guang Shan)",佛陀紀念館,Fo Guang Shan Buddha Museum,高鐵左營站,HSR Zuoying Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH851,"851",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH851,"851",紅51A,Red51A,臺鐵新左營站－蓮池潭,,0,,,,,11,紅51A,Red51A,台鐵新左營站,TRA New Zuoying Station,蓮池潭,Lotus Lake,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH851,"851",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH851,"851",紅51A,Red51A,臺鐵新左營站－蓮池潭,,1,,,,,11,紅51A,Red51A,台鐵新左營站,TRA New Zuoying Station,蓮池潭,Lotus Lake,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
