id,SectionID,ArterialID,TimestampCol,DatetimeCol,TravelTime
16502889,007-060-006-060,S01,1630882800,"2021-09-06 07:00:00",24
16502890,006-060-005-060,S01,1630882800,"2021-09-06 07:00:00",19
16502891,013-060-012-060,S01,1630882800,"2021-09-06 07:00:00",29
16502892,008-060-007-060,S01,1630882800,"2021-09-06 07:00:00",42
16502893,012-060-011-060,S01,1630882800,"2021-09-06 07:00:00",26
16502894,010-060-009-060,S01,1630882800,"2021-09-06 07:00:00",13
16502895,014-060-013-060,S01,1630882800,"2021-09-06 07:00:00",49
16502896,009-060-008-060,S01,1630882800,"2021-09-06 07:00:00",31
16502897,011-060-010-060,S01,1630882800,"2021-09-06 07:00:00",32
16502898,015-060-014-060,S01,1630882800,"2021-09-06 07:00:00",25
16502899,002-060-001-060,S01,1630882800,"2021-09-06 07:00:00",56
16502900,005-020-006-020,S01,1630882800,"2021-09-06 07:00:00",11
16502901,003-060-002-060,S01,1630882800,"2021-09-06 07:00:00",22
16502902,004-060-003-060,S01,1630882800,"2021-09-06 07:00:00",57
16502903,001-020-002-020,S01,1630882800,"2021-09-06 07:00:00",75
16502904,003-020-004-020,S01,1630882800,"2021-09-06 07:00:00",117
16502905,002-020-003-020,S01,1630882800,"2021-09-06 07:00:00",23
16502906,004-020-005-020,S01,1630882800,"2021-09-06 07:00:00",20
16502907,006-020-007-020,S01,1630882800,"2021-09-06 07:00:00",24
16502908,005-060-004-060,S01,1630882800,"2021-09-06 07:00:00",29
16502909,008-020-009-020,S01,1630882800,"2021-09-06 07:00:00",64
16502910,007-020-008-020,S01,1630882800,"2021-09-06 07:00:00",33
16502911,012-020-013-020,S01,1630882800,"2021-09-06 07:00:00",68
16502912,010-020-011-020,S01,1630882800,"2021-09-06 07:00:00",21
16502913,030-060-029-060,S02,1630882800,"2021-09-06 07:00:00",58
16502914,011-020-012-020,S01,1630882800,"2021-09-06 07:00:00",12
16502915,013-020-014-020,S01,1630882800,"2021-09-06 07:00:00",43
16502916,009-020-010-020,S01,1630882800,"2021-09-06 07:00:00",41
16502917,014-020-015-020,S01,1630882800,"2021-09-06 07:00:00",113
16502918,031-060-030-060,S02,1630882800,"2021-09-06 07:00:00",21
16502919,029-060-028-060,S02,1630882800,"2021-09-06 07:00:00",20
16502920,028-060-027-060,S02,1630882800,"2021-09-06 07:00:00",21
16502921,027-060-026-060,S02,1630882800,"2021-09-06 07:00:00",7
16502922,789-060-024-060,S02,1630882800,"2021-09-06 07:00:00",15
16502923,023-060-022-060,S02,1630882800,"2021-09-06 07:00:00",18
16502924,025-060-789-060,S02,1630882800,"2021-09-06 07:00:00",38
16502925,024-060-023-060,S02,1630882800,"2021-09-06 07:00:00",8
16502926,790-060-025-060,S02,1630882800,"2021-09-06 07:00:00",36
16502927,026-060-790-060,S02,1630882800,"2021-09-06 07:00:00",7
16502928,022-060-021-060,S02,1630882800,"2021-09-06 07:00:00",17
16502929,788-060-020-060,S02,1630882800,"2021-09-06 07:00:00",21
16502930,020-060-019-060,S02,1630882800,"2021-09-06 07:00:00",24
16502931,021-060-788-060,S02,1630882800,"2021-09-06 07:00:00",6
16502932,019-060-018-060,S02,1630882800,"2021-09-06 07:00:00",26
16502933,018-060-017-060,S02,1630882800,"2021-09-06 07:00:00",29
16502934,017-020-018-020,S02,1630882800,"2021-09-06 07:00:00",37
16502935,016-020-787-020,S02,1630882800,"2021-09-06 07:00:00",18
16502936,017-060-787-060,S02,1630882800,"2021-09-06 07:00:00",8
16502937,787-060-016-060,S02,1630882800,"2021-09-06 07:00:00",34
16502938,787-020-017-020,S02,1630882800,"2021-09-06 07:00:00",7
16502939,018-020-019-020,S02,1630882800,"2021-09-06 07:00:00",36
16502940,019-020-020-020,S02,1630882800,"2021-09-06 07:00:00",21
16502941,020-020-788-020,S02,1630882800,"2021-09-06 07:00:00",17
16502942,788-020-021-020,S02,1630882800,"2021-09-06 07:00:00",6
16502943,024-020-789-020,S02,1630882800,"2021-09-06 07:00:00",14
16502944,021-020-022-020,S02,1630882800,"2021-09-06 07:00:00",17
16502945,789-020-025-020,S02,1630882800,"2021-09-06 07:00:00",55
16502946,025-020-790-020,S02,1630882800,"2021-09-06 07:00:00",21
16502947,023-020-024-020,S02,1630882800,"2021-09-06 07:00:00",10
16502948,022-020-023-020,S02,1630882800,"2021-09-06 07:00:00",15
16502949,026-020-027-020,S02,1630882800,"2021-09-06 07:00:00",11
16502950,790-020-026-020,S02,1630882800,"2021-09-06 07:00:00",10
16502951,027-020-028-020,S02,1630882800,"2021-09-06 07:00:00",19
16502952,028-020-029-020,S02,1630882800,"2021-09-06 07:00:00",36
16502953,049-060-016-060,S03,1630882800,"2021-09-06 07:00:00",46
16502954,030-020-031-020,S02,1630882800,"2021-09-06 07:00:00",26
16502955,050-060-049-060,S03,1630882800,"2021-09-06 07:00:00",46
16502956,047-060-046-060,S03,1630882800,"2021-09-06 07:00:00",22
16502957,016-060-047-060,S03,1630882800,"2021-09-06 07:00:00",25
16502958,029-020-030-020,S02,1630882800,"2021-09-06 07:00:00",47
16502959,046-060-045-060,S03,1630882800,"2021-09-06 07:00:00",12
16502960,045-060-044-060,S03,1630882800,"2021-09-06 07:00:00",21
16502961,044-060-043-060,S03,1630882800,"2021-09-06 07:00:00",59
16502962,043-060-042-060,S03,1630882800,"2021-09-06 07:00:00",18
16502963,035-060-034-060,S03,1630882800,"2021-09-06 07:00:00",10
16502964,034-060-033-060,S03,1630882800,"2021-09-06 07:00:00",68
