"id","name","v_type","volumn","h0","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","src_time","update_time","leftspace"
"095",五都重平站,1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"100",華夏,1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"103",平和,1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"105",曾子,1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"106",中崙,1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"107",鎮賢,1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"108",鎮興,1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"117",龍華,1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"118",三民二號公園,1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"120",獅甲,1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"125",廣三,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"126",旗山生活園區,1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"127",五都重和站,1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"128",八德大型車,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"135",臨海二路,1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"150",濱海,1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"290",公園路,1,346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"448",常德,1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"449",立民,1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"457",田中央,1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
