TicketType,TrainType,StationNo,StationName,TransactionDate,Enter,Exit
一般,捷運,R16,左營站,20210622 10:15:00,23,23
一般,捷運,R16,左營站,20210622 10:30:00,42,32
一般,捷運,R16,左營站,20210622 10:45:00,31,36
一般,捷運,R16,左營站,20210622 11:00:00,7,75
一般,捷運,R16,左營站,20210622 11:15:00,12,54
一般,捷運,R16,左營站,20210622 11:30:00,50,41
一般,捷運,R16,左營站,20210622 11:45:00,15,24
一般,捷運,R16,左營站,20210622 12:00:00,13,29
一般,捷運,R16,左營站,20210622 12:15:00,16,10
一般,捷運,R16,左營站,20210622 12:30:00,36,28
一般,捷運,R16,左營站,20210622 12:45:00,20,26
一般,捷運,R16,左營站,20210622 13:00:00,20,18
一般,捷運,R16,左營站,20210622 13:15:00,12,20
一般,捷運,R16,左營站,20210622 13:30:00,42,37
一般,捷運,R16,左營站,20210622 13:45:00,16,16
一般,捷運,R16,左營站,20210622 14:00:00,10,37
一般,捷運,R16,左營站,20210622 14:15:00,12,19
一般,捷運,R16,左營站,20210622 14:30:00,59,38
一般,捷運,R16,左營站,20210622 14:45:00,11,19
一般,捷運,R16,左營站,20210622 15:00:00,21,20
一般,捷運,R16,左營站,20210622 15:15:00,25,14
一般,捷運,R16,左營站,20210622 15:30:00,44,39
一般,捷運,R16,左營站,20210622 15:45:00,20,30
一般,捷運,R16,左營站,20210622 16:00:00,12,25
一般,捷運,R16,左營站,20210622 16:15:00,24,20
一般,捷運,R16,左營站,20210622 16:30:00,58,32
一般,捷運,R16,左營站,20210622 16:45:00,20,39
一般,捷運,R16,左營站,20210622 17:00:00,21,48
一般,捷運,R16,左營站,20210622 17:15:00,30,58
一般,捷運,R16,左營站,20210622 17:30:00,87,83
一般,捷運,R16,左營站,20210622 17:45:00,62,86
一般,捷運,R16,左營站,20210622 18:00:00,39,75
一般,捷運,R16,左營站,20210622 18:15:00,39,81
一般,捷運,R16,左營站,20210622 18:30:00,84,62
一般,捷運,R16,左營站,20210622 18:45:00,34,39
一般,捷運,R16,左營站,20210622 19:00:00,16,34
一般,捷運,R16,左營站,20210622 19:15:00,21,43
一般,捷運,R16,左營站,20210622 19:30:00,55,40
一般,捷運,R16,左營站,20210622 19:45:00,27,34
一般,捷運,R16,左營站,20210622 20:00:00,96,26
一般,捷運,R16,左營站,20210622 20:15:00,36,27
一般,捷運,R16,左營站,20210622 20:30:00,52,12
一般,捷運,R16,左營站,20210622 20:45:00,23,19
一般,捷運,R16,左營站,20210622 21:00:00,10,11
一般,捷運,R16,左營站,20210622 21:15:00,12,14
一般,捷運,R16,左營站,20210622 21:30:00,28,6
一般,捷運,R16,左營站,20210622 21:45:00,13,17
一般,捷運,R16,左營站,20210622 22:00:00,8,8
一般,捷運,R16,左營站,20210622 22:15:00,6,7
一般,捷運,R16,左營站,20210622 22:30:00,36,5
一般,捷運,R16,左營站,20210622 22:45:00,4,6
一般,捷運,R16,左營站,20210622 23:00:00,8,0
一般,捷運,R16,左營站,20210622 23:15:00,4,2
一般,捷運,R16,左營站,20210622 23:30:00,3,2
一般,捷運,R15,生態園區站,20210622 05:30:00,1,0
一般,捷運,R15,生態園區站,20210622 05:45:00,14,0
一般,捷運,R15,生態園區站,20210622 06:00:00,13,2
一般,捷運,R15,生態園區站,20210622 06:15:00,22,6
一般,捷運,R15,生態園區站,20210622 06:30:00,28,4
一般,捷運,R15,生態園區站,20210622 06:45:00,46,3
一般,捷運,R15,生態園區站,20210622 07:00:00,38,3
一般,捷運,R15,生態園區站,20210622 07:15:00,40,11
一般,捷運,R15,生態園區站,20210622 07:30:00,59,20
一般,捷運,R15,生態園區站,20210622 07:45:00,35,14
